# Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
42.250 -1.40  3 6.08 3.654  1.29  9 0.82  1.172  0.645  1.193  2.708 16.815    0.152   -0.115 -104.38 -126.54 -373.87  -19.18 -2.11   9.90000  -1.30000  0.092 -1.845
 9.470 -1.80  3 6.23 3.641  1.04  9 0.82  1.269  1.042  1.264  2.863 13.204   -0.095   -0.786 -151.89  237.95 -303.64  -24.09 -1.06   9.90000   0.30000  0.093 -2.338
12.650 -1.40  3 6.08 3.654  1.29  9 0.82  1.224  0.948  1.154  2.696 14.181   -0.084   -0.367  -85.52  166.52 -173.05  -22.00 -0.93   9.90000   0.30000  0.093 -1.845
15.650 -1.80  3 6.23 3.641  1.04  9 0.82  1.257  0.887  1.291  2.870 14.319    0.122    0.032 -268.05  -33.72 -139.56  244.87 -1.65   9.90000   0.30000  0.093 -2.338
31.410 -1.80  3 6.23 3.641  1.04  9 0.82  1.254  0.858  1.301  2.874 15.735    0.031   -0.181 -225.71  136.49 -318.21   75.54 -1.80   9.90000   0.30000  0.093 -2.338
31.930 -2.20  3 6.41 3.625  0.76  9 0.82  1.364  1.067  1.456  3.117 15.485    0.090   -0.131 -199.69   20.18 -301.20   80.82 -1.78   9.90000   0.30000  0.093 -2.881
44.150 -1.20  3 6.01 3.660  1.41  9 0.82  1.129  0.624  1.132  2.627 17.030    0.065   -0.081 -193.69    6.45 -277.41   88.22 -1.80   9.90000   0.30000  0.093 -1.610
56.370 -1.20  3 6.01 3.660  1.41  9 0.82  1.131  0.632  1.131  2.626 17.724    0.025    0.006  -28.61  -58.60  -33.96   29.94 -1.76   9.90000   0.30000  0.093 -1.610
23.350 -1.20  3 6.01 3.660  1.41  9 0.82  1.143  0.687  1.120  2.618 15.829    0.184   -0.229 -177.13  -10.04 -365.99   56.08 -1.49  11.70000  -3.10000  0.091 -1.610
24.310 -2.00  3 6.32 3.634  0.91  9 0.82  1.301  1.079  1.332  2.958 15.066   -0.100   -0.039  -31.86  126.13   16.65   13.39 -1.24  11.70000  -3.10000  0.091 -2.600
53.730 -2.40  3 6.52 3.616  0.60  9 0.82  1.448  1.158  1.566  3.307 16.418    0.061   -0.002   23.41 -133.12  -78.35  -26.16 -1.94  11.70000  -3.10000  0.091 -3.184
55.590 -1.80  3 6.23 3.641  1.04  9 0.82  1.298  1.180  1.270  2.864 16.982    0.036   -0.060  -62.45   11.43 -192.43  -13.15 -0.72  11.70000  -1.30000  0.092 -2.338
