#Title: Sodium-oxygen anticorrelation and neutron capture elements in 
#       Omega Centauri stellar populations  
#Authors: Marino A.F., Milone A.P., Piotto G., Villanova S., Gratton R., 
#         D'Antona F., Anderson J., Bedin L.R., Bellini A., Cassisi S., 
#         Geisler D., Renzini A., Zoccali M. 
#Table: Coordinates RA and DEC, V magnitude, adopted atmospheric parameters 
#       and measured abundance ratios for the 300 stars in {Omega} Cen
#================================================================================
#Byte-by-byte Description of file: apj383801t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label    Explanations
#--------------------------------------------------------------------------------
#   1-  7 A7     ---     ID       Bellini et al. (2009) catalog identifier
#   9- 18 F10.6  deg     RAdeg    Right Ascension in decimal degrees (J2000)
#  20- 29 F10.6  deg     DEdeg    Declination in decimal degrees (J2000)
#  31- 36 F6.3   mag     Vmag     V band magnitude
#  38- 41 I4     K       Teff     Effective temperature
#  43- 46 F4.2   [cm/s2] log(g)   Log of the surface gravity
#  48- 51 F4.2   km/s    Vmicro   Microturbulent velocity
#  53- 57 F5.2   [-]     [Fe/H]   Log of the Fe/H number abundance
#  59- 63 F5.2   [-]     [O/Fe]   ? Log of the O/Fe number abundance
#  65- 69 F5.2   [-]     [Na/Fe]  ? Log of the Na/Fe number abundance
#  71- 75 F5.2   [-]     [Ba/Fe]  Log of the Ba/Fe number abundance
#  77- 81 F5.2   [-]     [La/Fe]  ? Log of the La/Fe number abundance
#--------------------------------------------------------------------------------
322456  201.530416 -47.469811 12.018 4113 0.73 2.06 -1.61  0.49  0.20  0.18  0.41 
322480  201.446364 -47.469631 12.212 4332 0.97 1.86 -1.82  0.37 -0.10 -0.74 -0.18 
327302  201.578699 -47.445156 12.141 4025 0.71 2.04 -1.45        0.70  0.71  0.72 
331089  201.542023 -47.425166 12.260 4261 0.94 1.90 -1.62 -0.60  0.48  0.25  0.41 
331868  201.518323 -47.420810 12.351 4466 1.11 2.15 -1.92  0.33  0.14 -0.69 -0.17 
332564  201.518234 -47.416927 12.221 4113 0.81 2.05 -1.50  0.36  0.44  0.24  0.52 
512176  201.868280 -47.636981 12.404 4331 1.05 1.71 -1.75  0.39 -0.10 -0.48 -0.18 
614525  201.712301 -47.636828 12.206 4265 0.92 1.86 -1.87 -0.30  0.27 -0.03  0.15 
619210  201.722339 -47.609730 12.439 3909 0.71 2.20 -1.30  0.41  0.98  0.40  0.56 
711372  201.573942 -47.620477 12.349 4266 0.98 1.83 -1.70  0.36  0.13 -0.07  0.23 
104377  201.864205 -47.575461 14.183 4602 1.93 1.63 -1.01  0.18  0.98  0.57  0.62 
104921  201.928604 -47.572230 14.339 4856 2.12 1.07 -1.79  0.67       -0.11  0.49 
109472  201.840464 -47.548587 14.020 4649 1.89 1.45 -1.38  0.36  0.46  0.60  0.44 
118311  201.842743 -47.506159 14.245 4816 2.06 1.48 -1.75        0.20 -0.29  0.20 
120021  201.881843 -47.498245 14.466 4859 2.17 1.50 -1.74  0.60       -0.02       
121287  201.879911 -47.492465 14.401 4935 2.19 1.56 -1.50        0.48  0.40  0.12 
122501  201.849062 -47.486798 13.809 4659 1.81 1.57 -1.63  0.62        0.42  0.13 
123917  201.859893 -47.480118 14.630 4453 2.02 1.48 -1.00  0.50  1.11  1.05  1.18 
128373  201.879759 -47.459370 14.009 4675 1.90 1.38 -1.56  0.19  0.39  0.55  0.52 
131248  201.805938 -47.445668 14.176 4762 2.01 1.51 -1.76  0.64        0.05       
132373  201.860578 -47.439930 14.743 4612 2.16 1.37 -1.23  0.80  0.19  0.65  0.66 
134373  201.814847 -47.430135 13.785 4600 1.76 1.47 -1.62 -0.02  0.40  0.53  0.53 
135472  201.838169 -47.424472 14.412 4697 2.07 1.19 -1.56  0.06  0.51  0.58  0.56 
200897  201.591755 -47.598779 13.710 4665 1.77 1.65 -1.76  0.49  0.28 -0.24 -0.60 
201509  201.638142 -47.595871 14.416 4730 2.09 1.52 -1.14  0.25  1.14  0.46  0.64 
203484  201.758964 -47.586981 14.014 4591 1.85 1.50 -1.14  0.07  1.00  0.53  0.71 
205809  201.767507 -47.577308 13.707 4705 1.79 1.62 -1.62        0.18  0.23       
205814  201.638482 -47.577514 13.939 4733 1.90 1.57 -1.56 -0.25  0.50  0.58  0.44 
206311  201.725167 -47.575315 14.580 4796 2.19 1.16 -1.82  0.59       -0.15       
208244  201.731030 -47.567471 14.218 4663 1.97 1.50 -1.72  0.11  0.57  0.17  0.12 
209667  201.714183 -47.561857 13.992 4619 1.86 1.57 -1.50 -0.30  0.73  0.66  0.71 
