#oid vrad verr R
8 74.4494 6.669 0.91
917 218.4324 17.591 0.37
405 154.0358 7.257 0.79
811 20.1918 9.546 0.8
672 233.5499 5.834 0.86
738 1.7372 5.857 0.92
567 38.5609 3.063 0.94
701 98.2562 6.509 0.83
501 63.3606 3.105 0.95
544 -8.6887 7.047 0.92
358 16.1206 1.98 0.96
32 34.4561 3.869 0.91
704 8.5995 4.505 0.93
588 9.4834 9.003 0.85
707 48.9566 14.341 0.59
722 -20.2359 6.516 0.85
948 71.1026 7.595 0.8
845 20.2346 5.111 0.92
425 -6.0237 3.683 0.94
636 52.4449 3.621 0.91
622 37.4035 2.519 0.95
456 6.365 4.202 0.93
419 24.8907 8.195 0.84
894 53.1713 5.121 0.71
268 10.2066 4.627 0.93
341 14.5388 5.467 0.85
274 25.6627 3.46 0.94
367 20.9608 5.783 0.9
767 59.0959 7.025 0.83
625 242.3172 5.116 0.93
705 15.4805 8.633 0.81
147 30.6892 3.114 0.95
454 -17.9776 2.755 0.93
561 -33.0044 8.467 0.78
460 4.104 2.348 0.95
784 9.9356 8.272 0.75
944 7280.8838 1335.21 0.05
488 27.8033 3.516 0.95
679 8.7984 3.335 0.95
780 85.9422 7.818 0.77
77 -2.1126 2.695 0.94
982 54.0456 5.712 0.89
831 77.9354 4.545 0.91
861 -12.2695 3.302 0.94
210 -11.6442 3.245 0.96
994 224.8609 66.374 0.45
